,all_letters,first_letters,last_letters
e,0.12047619029463359,0.023205639645115413,0.19043752762610835
t,0.09013415141635296,0.15703473991321068,0.09976634540495322
a,0.08615366901019313,0.0934832541712692,0.010206035042653109
i,0.07390914190587976,0.06488205527465268,0.0027604983582406586
o,0.07385934224977894,0.0630842639647155,0.04687515024086616
n,0.07191052743906794,0.022373323457621806,0.09386976473409443
s,0.0675955837383417,0.07679162141836701,0.1431085589143788
r,0.06408335887594258,0.030289432745850876,0.06676973615008673
h,0.0492649990155916,0.05086423645297231,0.024471960720153823
l,0.040617573219352145,0.026567247156095198,0.03036081992104287
d,0.03945405616585878,0.03174558543165494,0.10542778546201634
c,0.03124904957590959,0.0533281138138846,0.0049434890379893405
m,0.026703525842047514,0.04772451193753826,0.016024818261363892
u,0.02642338078016587,0.010838758515834403,0.003179060305845969
f,0.021254041566171614,0.04347945171152938,0.03223262079219951
g,0.02099034974756003,0.019010550441740926,0.03757048755109647
p,0.02074621998467238,0.04238285728771275,0.007954570949965167
w,0.018398831954638557,0.06152277877347509,0.010130131535969375
y,0.01697514249285875,0.009785433461470885,0.05831064726606058
b,0.015401262195453326,0.047723055056411896,0.0011796366480195594
v,0.010271017764487573,0.007707920975271191,0.0004373557141354474
k,0.008087780897702445,0.005951505089322838,0.011364546914340343
j,0.0020798541884839558,0.007539214140837864,0.00010489544109844175
x,0.0018331728531105766,0.00012427196007912613,0.0016015494222155141
z,0.001235782278836369,0.0006531198089504367,0.0007881726893646803
q,0.0008919945469083285,0.0019070573944147257,0.00012383489574121595
